CHARTER NO	ID
25028	e23c2fb7433fb7b090361608dcf5c70ce515d946
23216	d16a65da60faa41345d56e392ba28a342d975f19
18358	7baf9fdea9a20dceb651deb59c0575d2780e50ea
23869	e42145fe72252ff57adc768948311c04ddc482b1
24547	c44f301d1f990b138c46277bc3e253c8409344fa
16417	24f3acf31de8afdf265c2aec8db86c69900bcd55
24466	07e92d279fecbaebf74861adda8034d3de9572eb
8674	243d8ee98ccf984ff3f765b4a00a0b437b06a6cd
22121	641a81c2e5bea31a379d3ead11159dc483eec395
14583	0dfb70f320b17b997889c15140d1e28dbc0c9237
24536	4a8432cb1127e107493a7d746a15548555af4723
24224	5a119a1070e6d9b19c3a582940486b714110198f
6301	c8446fed8840075381f309f006c14c0d59f881ca
17383	8733c5aa92a0d7bb7f2c10fbb4659037ed1ae009
14447	e349adfb4af8168680d4ed1c2445a4d1e14eb4f3
10646	5c2cda99948c3eccd297cbf2159f1ad295a9e127
24744	f75d42f1ff669b924ec16fc08ad95771e4dd608c
18242	a1c8bc85b2548dc410e12648a8f0ee208b58f068
3656	86c2cc4137ba0c9a8392cad3f9837980390245c3
23925	8a21f02ffeddd12d1e46b4e45d8dcd1dcab749a3
24577	61b95248613180eeb85539975f0131fa248d6cd4
23850	ddcdb8d9691df68a7797d99ccacb10b1974639a4
24828	39958b0e45efb90cd54598d3f4c6e162c7c74884
13688	8720569485891cbaa5b0247228468348f4bae44f
17525	3e5414af4dc0449c1e24ab33024b3838f9fe588b
5737	fc6ac126a4b87aa4144fe91e28263f473311a654
412	6e9b99384f21dc46400b5347a3eb341f6daeb334
23323	5e1ca041703ade9dfad6d8fccf66a97b1603ad8e
20448	fd8bb6c95031c7af7bc67154c68381c5656a4829
22311	ef41004fb58f733a3fa6d3c34dea23b9e2c344e9
4284	b8d1c85a1dae8fa175f01bad051f3baccb58e9e0
16626	2c673badc6aeaf19e8e5a147490aac10e9301466
24617	094cb9441558c6893ee166aa2e730076e3684739
25137	45d92f56c6f4fb8283f7b8f27c56681a6b7ed3f9
24755	31917978bf3e678be047de3f53be4ca238c664c4
23158	ada1f4634f8b9df80e7a76c8c90256f122b3d65c
24106	4608d5aebff8dc2f657478c359790aabc4a0ef2c
1461	8b4078f9f76081a0c3ce5db983aa4f340ecd7531
18410	99d4fcdf9b312d053ca9c0223c528dc940fb220c
24571	96e7d7bf42a91b5af3d95bb0d515bcf280ec549b
23834	c6b9b8f31b33f22099965d907dc13d17de74eb6c
25088	96f29678f4f94f24ddbd71e97f98450e867378d1
16076	0d5e2ffc5fb4a10195c070c16329188da1c27871
5484	4df7aa73e5cebbcb319c8bf8343ede5d8b212665
17456	dbd626538d1091d80a65f8c681a335914dcaa14a
14273	9674f93428bd80b972becd59eb4a916db1c08bec
14435	7b56cd39404b0ae7ce19f7915e60ed295d2f8534
13522	620fcbe5a07a0a95b66f1a54205f3c7399aeec93
8515	9990a0bfac8abf40d6b0177c6953cebf22da3543
13516	7fad2c7173748522a397de9d2571618690f3a99c
20184	20bc898ebdec53649d8402d26f9aeec7eba34108
14695	db6e31fa5c619d3ad45a4a9c22cf0d7b0b55b167
17652	ad4a1acf2585a55a8d538600ba5ccca01cdca88c
16142	164c65ed396f1a60204533608892ee6df40f1142
14807	89611e04d247933140c11b9e06489d5efb3ed738
13731	239c464dd6c4acd91a8d820af0ec41071cb8f701
14347	bd4e51b111d3e48b77ca109a74815c676a6322bf
24861	76d6e3614603b5dd00f97e2c55611c0708d541e9
8004	f34304f9eaf4cada803789b116a171bbe25a5fd2
21527	6051516051bd7725b9d5257aa043fa4cd627e694
14371	3cc333ba653b60b9c99c0a63a81477e6e1d8aa6c
15257	166a876d45e726d15b172180e528f6c312cbdfff
16553	b38e5ec91aad067f94d65b1e2262a2794f3059bb
8531	2fdbccfb12f5606e6c517e8ab7cfb60426f36382
7518	d0b1f2d7c20b8a1fa79ec6681181632b36b152a3
24080	6f4ffed852bb2d13dec98d6332d33fa6d5c7976e
18394	e0a6980207f8e1c54a87a61c01ec4cd277304572
24347	94b7911bb018ff74af19fbc8597ac92ee0052c7a
15417	c256190186e21948ef3fab8ab56f73e76e463fb1
17002	8318293955acbfeebcb9b3db03e35d48737ac41a
18054	056daeb65781bc0598c97f165af47a31f7e56cb8
18233	8b93d0c79acec793b29a8d2e1080fe2542ffef13
23148	786c11ea907c6f1ccf97c9f3709ec2701db31ddb
23664	200fe1969add13b24939344698417aa22522a5c6
15543	0fade7f498d15c8ae9344099e45c52125c6a3027
16325	f32901307b28ba26eca14dea775e9bf9e76d814d
24114	c77d0dca617c269f991a3914c1574c730812389f
23771	9609857d5a11327ac2b5458f2f868e4a41d94ce2
17828	9416a5e55f2ee2b4c490685e7ee9691fb15a4fd7
23574	4d0efd695cfa004db4bc78333b2ad61534e18301
10254	bd9ca42709bba33c6f8f7a68a19e3bd61894ead5
24604	b980fb5bf53e493b92e86742b4b8a49a112d6c53
20547	d4f5326095846d90e4ad6edcd0dd579c6fe5d60a
24622	fe78e0151d3e46079b3d7e86eb7ef175616d11f7
23852	8e095f43835911d7cca783b860899e42c82aaa38
